la banlieue|de buitenwijken
la campagne|het platteland
la commune|de gemeente
le pays|het land
la région|de streek, de regio
le loft|de loft
le logement|de woonst, de slaapgelegenheid
la maison de rangée|de rijwoning
la micro-maison|de microwoning
le studio|de studio
la Tiny|de microwoning, het tiny house
la villa|de villa
abordable|betaalbaar
agréable|aangenaam, gezellig
cher, chère|duur
clos(e)|afgesloten
confortable|comfortabel
écologique|ecologisch
équipé(e) (de)|voorzien (van), uitgerust (met)
étroit(e)|smal
magnifique|prachtig
pratique|praktisch
spacieux, spacieuse|ruim
rose|roze
jaune|geel
blanc, blanche|wit
vert(e)|groen
noir(e)|zwart
brun(e)|bruin
rouge|rood
mauve|paars
bleu(e)|blauw
orange|oranje
gris(e)|grijs
construire|bouwen
déménager|verhuizen
entretenir|onderhouden
nettoyer|poetsen
prendre une douche|zich douchen
ranger|opruimen
réparer|herstellen
se changer|zich omkleden
se déshabiller|zich uitkleden
se réveiller|wakker worden
vivre|wonen, leven
l'ascenseur (m)|de lift
l'armoire (f)|de kast
la baignoire|het bad
le balai|de bezem
le barbecue|de barbecue
le cadre|de lijst, de omlijsting
la cafetière|het koffiezetapparaat
la casserole|de kookpan
la chaise|de stoel
le congélateur|de diepvriezer
la douche|de douche
le drap|het laken
l'étagère (f)|het rek
l'évier (m)|de gootsteen
le fauteuil|de zetel
la fenêtre|het raam
la garde-robe|de garderobe, de kleerkast
le grille-pain|de broodrooster
le haut-parleur|de luidspreker, de (muziek)box
la lampe|de lamp
le lavabo|de wastafel
le lave-vaisselle|de vaatwasser
le lit|het bed
le miroir|de spiegel
l'ordinateur (m)|de computer
l'oreiller (m)|het hoofdkussen
le panier à linge|de linnenmand
le poster|de poster
la poubelle|de vuilnisbak
le rasoir|het scheerapparaat
le réveil|de wekker
le rideau|het gordijn
le robinet|de kraan
le tableau|het schilderij
la table de nuit|het nachtkastje
le tapis|het tapijt
la télé|de televisie
la télécommande|de afstandsbediening
la tondeuse à gazon|de grasmaaier
le bureau|het bureau
la cabane de jardin|het tuinhuis
la cave|de kelder
la chambre à coucher|de slaapkamer
le couloir|de gang
la cuisine|de keuken
le débarras|de berging
le garage|de garage
le grenier|de zolder
le hall (d'entrée)|de (inkom)hal
le jardin|de tuin
le living|de woonkamer
la mezzanine|de mezzanine, de tussenverdieping
la pièce|de kamer, het vertrek
la piscine|het zwembad
le premier étage|de eerste verdieping
le rez-de-chaussée|de begane grond
la salle à manger|de eetkamer
la salle de bains|de badkamer
la salle de séjour|de woonkamer
le salon|het salon
la terrasse|het terras
les toilettes (f)|het toilet, de wc
